project	tissue	method	log2_auprc_over_prior	auROC	log2_p20r	sample_num	median_spearman	counts_sample_sums_variance
SRP012682	prostate	TPM_QNT_CLR	0.29324020956863184	0.5424736210215997	0.4094034842931552	119	0.8348637170990683	19232108739791.59
SRP012682	salivary_gland	TPM_QNT_CLR	0.294238316797055	0.5418075290340312	0.36983236246232454	70	0.840206092880244	14433063078048.781
SRP012682	skin	TPM_QNT_CLR	0.24757665313442184	0.5334188604333576	0.38108676350218146	972	0.8240569875401347	27032090903840.29
SRP012682	small_intestine	TPM_QNT_CLR	0.2674195222813529	0.5410219562581915	0.3325046429084185	104	0.776948424667578	14013718866596.008
SRP012682	spleen	TPM_QNT_CLR	0.3914426123397985	0.5545954863864608	0.5703162202339526	118	0.9159208419930962	14346446068866.951
SRP012682	stomach	TPM_QNT_CLR	0.33496912154910935	0.5454450837196418	0.3899017115183568	203	0.8198299137803764	17003626657448.738
SRP012682	testis	TPM_QNT_CLR	0.1954209373149668	0.553729562082026	0.38388261564616	203	0.8975121198521843	28511044450967.555
SRP012682	thyroid	TPM_QNT_CLR	0.3710937564977622	0.5445409377648502	0.50758409767446655	361	0.8803299354597345	34659609336165.54
SRP012682	uterus	TPM_QNT_CLR	0.28171970957077314	0.539495503915532	0.4369183354896227	90	0.8770981722633059	15946606709973.91
SRP012682	vagina	TPM_QNT_CLR	0.2628038827518411	0.5352806048208549	0.3341130397797845	97	0.8169675261454857	18566935313697.44
SRP012682	adipose_tissue	WTO	0.25705195960715244	0.5498357670467158	0.4779912054949102	620	0.8506274146438043	30066501410326.83
SRP012682	adrenal_gland	WTO	0.17463964266867701	0.538012410977899	0.364244385933348	159	0.9045109224029559	23481551609864.31
SRP012682	bladder	WTO	0.11170573656110028	0.5354644698613811	0.21851036271636412	11	0.8774278302670073	7730794256511.091
SRP012682	blood	WTO	0.0951640360953015	0.5220266876135611	0.1954019387185802	595	0.8210499606496351	47563257529617
SRP012682	blood_vessel	WTO	0.2546137876020467	0.5478853990680363	0.5039570757649585	750	0.8634456651812191	38754164151495.93
SRP012682	bone_marrow	WTO	0.2087949409280095	0.5601559450428795	0.35056172093340054	102	0.9928019473064187	42049900457199.79
SRP012682	brain	WTO	0.1651830913690484	0.5301406210592177	0.3092707547818167	1409	0.7523762664025219	46066048954458.94
SRP012682	breast	WTO	0.12616960395554985	0.5353191163467272	0.22821070271664362	218	0.8302414835111974	18879247457177.68
SRP012682	cervix_uteri	WTO	0.042059578556561956	0.5261618671306678	0.07267636903978685	11	0.8542408684699819	5000055391623.473
SRP012682	colon	WTO	0.09045359456209796	0.538467808916721	0.1993036324863513	376	0.8005994571042859	19519544599157.188
SRP012682	esophagus	WTO	0.08192293958791708	0.5364255966646851	0.17722126268883373	788	0.7675823718289441	33145227246645.367
SRP012682	fallopian_tube	WTO	0.2869770415927638	0.5583895769095761	0.40959083834643356	7	0.8610602932806956	23996813030299.906
SRP012682	heart	WTO	0.23603288680277695	0.5589985845695082	0.4516429395779477	489	0.8295588197843352	39369470293725.52
SRP012682	kidney	WTO	0.2416305291751331	0.5511179040586285	0.4043365410668283	36	0.7985829147013058	22272752539960.25
SRP012682	liver	WTO	0.3999080381534875	0.5852247605535013	0.6327895346554555	136	0.8611651199044741	43479116110667.48
SRP012682	lung	WTO	0.1498626239285902	0.5348786658360041	0.3319683705298469	374	0.8357935494798248	43149889822933.25
SRP012682	muscle	WTO	0.35113722109777235	0.5722467019500073	0.6186089478921505	475	0.8758770579357273	41509031431766.15
SRP012682	nerve	WTO	0.22640454000327379	0.5508327535308126	0.42591375588045394	335	0.8983040598566469	30490143371729.26
SRP012682	ovary	WTO	0.25097662932154197	0.5594718263710092	0.44312880157997925	108	0.8929019389320334	16778882363032.21
SRP012682	pancreas	WTO	0.2730418656653509	0.5575885427142566	0.43959121719303185	197	0.9071555030828208	25331676437836.96
SRP012682	pituitary	WTO	0.33535679950365244	0.5681394024613837	0.5789187303680277	124	0.8847276308833996	17520465346450.992
SRP012682	prostate	WTO	0.3660046027637795	0.5642967245735235	0.6339046828224314	119	0.8348637170990683	19232108739791.59
SRP012682	salivary_gland	WTO	0.3540796667990255	0.5713844551664806	0.5514841702121007	70	0.840206092880244	14433063078048.781
SRP012682	skin	WTO	0.17881385425558907	0.548525755476021	0.29996160139338857	972	0.8240569875401347	27032090903840.29
SRP012682	small_intestine	WTO	0.16909576593703246	0.5527312585609252	0.3316386644149015	104	0.776948424667578	14013718866596.008
SRP012682	spleen	WTO	0.265368884487189	0.5433877677414785	0.4727582035951192	118	0.9159208419930962	14346446068866.951
SRP012682	stomach	WTO	0.30530661250210905	0.5688952343462006	0.52064648345756	203	0.8198299137803764	17003626657448.738
SRP012682	testis	WTO	0.13595574698014584	0.5393682770495616	0.2458706734517283	203	0.8975121198521843	28511044450967.555
SRP012682	thyroid	WTO	0.20679960114052573	0.5469614477428877	0.40726323169190876	361	0.8803299354597345	34659609336165.54
SRP012682	uterus	WTO	0.18508395617968657	0.5340491394085802	0.3426240672148367	90	0.8770981722633059	15946606709973.91
SRP012682	vagina	WTO	0.10896779456427158	0.536645081126153	0.20606450566231072	97	0.8169675261454857	18566935313697.44
SRP012682	adipose_tissue	QNT_WTO	0.12707845588431427	0.5334206486195399	0.23464328636051635	620	0.8506274146438043	30066501410326.83
SRP012682	adrenal_gland	QNT_WTO	0.1104226896685696	0.5253475032463939	0.24655402617505598	159	0.9045109224029559	23481551609864.31
SRP012682	bladder	QNT_WTO	0.027799305600477307	0.5123477199235822	0.08029767163038047	11	0.8774278302670073	7730794256511.091
SRP012682	blood	QNT_WTO	0.3110695764850152	0.5500524091880834	0.49026216786807	595	0.8210499606496351	47563257529617
SRP012682	blood_vessel	QNT_WTO	0.3112398597544982	0.5402135929834913	0.4996305277543595	750	0.8634456651812191	38754164151495.93
SRP012682	bone_marrow	QNT_WTO	0.08673660362441732	0.5137743418567879	0.2236776114285417	102	0.9928019473064187	42049900457199.79
SRP012682	brain	QNT_WTO	0.14743691876923018	0.5386354649222085	0.3165399306109228	1409	0.7523762664025219	46066048954458.94
SRP012682	breast	QNT_WTO	0.029941542502151426	0.5221018990696393	0.07088856827030779	218	0.8302414835111974	18879247457177.68
SRP012682	cervix_uteri	QNT_WTO	0.015110860295462079	0.5150243348734875	0.05433911565221687	11	0.8542408684699819	5000055391623.473
SRP012682	colon	QNT_WTO	-0.02994361504555608	0.5156276854586395	-0.08774297650598607	376	0.8005994571042859	19519544599157.188
SRP012682	esophagus	QNT_WTO	-0.021657193006658023	0.5139543663249242	-0.06299713997105379	788	0.7675823718289441	33145227246645.367
SRP012682	fallopian_tube	QNT_WTO	0.0611586727538325	0.5252169546160985	0.1442262242868455	7	0.8610602932806956	23996813030299.906
SRP012682	heart	QNT_WTO	0.15169257684278495	0.538971049614247	0.30273745809758773	489	0.8295588197843352	39369470293725.52
SRP012682	kidney	QNT_WTO	0.1802099202405262	0.5453428563237139	0.30324729926335836	36	0.7985829147013058	22272752539960.25
SRP012682	liver	QNT_WTO	0.2545056618712009	0.5531695894096629	0.46986556648990047	136	0.8611651199044741	43479116110667.48
SRP012682	lung	QNT_WTO	0.12373543887072268	0.5341490133623665	0.2429706662792097	374	0.8357935494798248	43149889822933.25
SRP012682	muscle	QNT_WTO	0.23452485716326252	0.5510380623268247	0.42122919974447925	475	0.8758770579357273	41509031431766.15
SRP012682	nerve	QNT_WTO	0.1505714006337181	0.5315069980711087	0.270547146954387	335	0.8983040598566469	30490143371729.26
