project	tissue	method	log2_auprc_over_prior	auROC	dataset	sample_num	unfiltered_median_spearman	unfiltered_counts_sample_sums_median	unfiltered_counts_sample_sums_variance	counts_sample_sums_median	counts_sample_sums_variance	median_spearman
SRP009266	lung	counts	0.130971374455279	0.5299832814207548	SRP009266_lung	6	0.9831996848654092	19496554.5	16881127737733.367	19496554.5	16881127737733.367	0.9831996848654092
SRP009276	breast	counts	0.16549195926519197	0.5344781817843796	SRP009276_breast	5	0.9696926661965488	19808735	23280438322735.5	19808735	23280438322735.5	0.9696926661965488
SRP009276	skin	counts	0.18519396359202572	0.536164068094422	SRP009276_skin	5	0.9123487288582667	13843969	55911792431362.2	13843969	55911792431362.2	0.9123487288582667
SRP009316	tonsil	counts	0.461658587116328	0.5902285860115626	SRP009316_tonsil	39	0.8383266552995194	29624934	152189538845442.66	29624934	152189538845442.66	0.8383266552995194
SRP009373	blood	counts	0.24563439060803613	0.5643245757187287	SRP009373_blood	6	0.6480313180872258	14720035	50658393832208	14720035	50658393832208	0.6480313180872258
SRP009408	lung	counts	0.5202636413567616	0.5998962638077501	SRP009408_lung	48	0.6201980785543115	16806968.5	41702837042319.71	17580331	20376162280082.125	0.6589494335693437
SRP009615	blood	counts	0.2583801538940925	0.571770314738842	SRP009615_blood	12	0.9402529660975534	20353499.5	64889759283064.99	20353499.5	64889759283064.99	0.9402529660975534
SRP009840	bone	counts	0.10890027097379067	0.5250869438746122	SRP009840_bone	11	0.7922230854876293	34526954	42218737715533.016	34526954	42218737715533.016	0.7922230854876293
SRP009862	blood	counts	0.35545338170035345	0.5716930491971652	SRP009862_blood	23	0.6130645929622438	6561905	21748257427790.086	6682702	20507373972662.133	0.6276432289983679
SRP009862	liver	counts	0.2156840097542962	0.5595689364658938	SRP009862_liver	9	0.7547160304065453	13212548	22668369806519.36	13212548	22668369806519.36	0.7547160304065453
SRP009862	skin	counts	0.15669178092541283	0.5347026640647528	SRP009862_skin	9	0.7725306474813661	10128450	16531575712235.111	10128450	16531575712235.111	0.7725306474813661
SRP010041	lung	counts	0.23345316914640077	0.5475854105111466	SRP010041_lung	6	0.8746000133452073	23414290.5	2367267160787.8667	23414290.5	2367267160787.8667	0.8746000133452073
SRP010181	intestine	counts	0.5549259086904164	0.5723885542438438	SRP010181_intestine	26	0.5549784668757749	110888.5	2182603054.9669223	228768.5	1466198307.146154	0.7229301701491603
SRP010374	cervix	counts	0.1698821003030502	0.5343116658455074	SRP010374_cervix	5	0.9600840860221238	9012134	7972338401457.8	9012134	7972338401457.8	0.9600840860221238
SRP010483	brain	counts	0.2840548705819285	0.5610262236332346	SRP010483_brain	10	0.8728140234038662	9677064	23001832322613.12	9677064	23001832322613.12	0.8728140234038662
SRP010644	blood	counts	0.47882811142769793	0.5735180798842521	SRP010644_blood	17	0.9503595763773524	4440333	33811300443513.492	4440333	33811300443513.492	0.9503595763773524
SRP010961	blood	counts	0.2416083773802306	0.5303836065440919	SRP010961_blood	6	0.9480269256105643	13171962	586358422904	13171962	586358422904	0.9480269256105643
SRP011085	epithelium	counts	0.414525000922651	0.5761354926353306	SRP011085_epithelium	24	0.5545297988529849	19508413	772022469545156	35793196	684988521294819.9	0.8514905340278471
SRP011546	stem_cell	counts	0.1870529274312998	0.5358469671045896	SRP011546_stem_cell	118	0.46736567641192106	27482422	63736999600535.234	27652053	63939800934189.38	0.460679062893746
SRP011903	brain	counts	0.20251625148388214	0.5386531031244886	SRP011903_brain	15	0.968544863780091	23732009	5785827686279.124	23732009	5785827686279.124	0.968544863780091
SRP011924	heart	counts	0.2892745500278634	0.5586811284561009	SRP011924_heart	29	0.8840661402814393	16237791	9375311834522.139	16237791	9375311834522.139	0.8840661402814393
SRP012015	heart	counts	0.30216270410765733	0.5442810250983712	SRP012015_heart	6	0.9112895613955416	10076277.5	27117672581885.867	10076277.5	27117672581885.867	0.9112895613955416
SRP012167	umbilical_cord	counts	0.39518256498303533	0.5727627284522896	SRP012167_umbilical_cord	25	0.8935224844550735	5114366	5799982030513.656	5114366	5799982030513.656	0.8935224844550735
SRP012557	brain	counts	0.11549129777346252	0.531340762281161	SRP012557_brain	8	0.6246097037367953	27237199.5	28560144236246.98	27237199.5	28560144236246.98	0.6246097037367953
SRP012557	breast	counts	0.148308449312422	0.5338103459448575	SRP012557_breast	16	0.7940764450806773	23208100.5	58472388647390.46	23208100.5	58472388647390.46	0.7940764450806773
SRP012557	epithelium	counts	0.24925775406372425	0.5632204052817542	SRP012557_epithelium	14	0.991686228601531	36530057	153494927822163.22	36530057	153494927822163.22	0.991686228601531
SRP012585	stem_cell	counts	0.0712729945467436	0.5229379115735355	SRP012585_stem_cell	5	0.33801259207199397	3522220	1700389842900.7222	3826675	1551352884029.3	0.3679661733707664
SRP012607	lung	counts	0.3962272362303027	0.5713779266984602	SRP012607_lung	12	0.9521293172686756	5223713	16499114755654.387	5223713	16499114755654.387	0.9521293172686756
SRP012656	lung	counts	0.4594339592843549	0.5933058880700628	SRP012656_lung	36	0.6915380741065125	15166465.5	5732909900087.133	15166465.5	5732909900087.133	0.6915380741065125
SRP013021	prostate	counts	0.2810009097919867	0.5673036506173048	SRP013021_prostate	15	0.697165008741557	13956525	569323016389530.5	13956525	569323016389530.5	0.697165008741557
SRP013299	stem_cell	counts	0.11057956648275498	0.5125103816171759	SRP013299_stem_cell	19	0.7273337241848127	8276311	1120239033725.339	8276311	1120239033725.339	0.7273337241848127
SRP013402	skin	counts	0.297332085699286	0.561051326127199	SRP013402_skin	5	0.9590638666825776	3237887	1148890868172.5	3237887	1148890868172.5	0.9590638666825776
SRP013456	kidney	counts	0.3027782539780893	0.5596399378164278	SRP013456_kidney	6	0.9344599404718462	2067028	442504412456.7	2067028	442504412456.7	0.9344599404718462
SRP013825	brain	counts	0.36678761134548515	0.5634727953861329	SRP013825_brain	23	0.856404725200316	2951181	1153413698165.7234	2951181	1153413698165.7234	0.856404725200316
SRP014146	skin	counts	0.23119076049386889	0.5535717647180718	SRP014146_skin	15	0.9003468953908378	11883184	7949516181969.543	11883184	7949516181969.543	0.9003468953908378
SRP014320	blood	counts	0.3127923531957177	0.5596270469013689	SRP014320_blood	34	0.8832489433928564	10522689	43394342514397.83	10522689	43394342514397.83	0.8832489433928564
SRP014320	blood_vessel	counts	0.2309232779890912	0.5407469184997353	SRP014320_blood_vessel	7	0.9684060535787834	9937277	29329319882364.285	9937277	29329319882364.285	0.9684060535787834
SRP014320	breast	counts	0.05507183085617564	0.5104910679265231	SRP014320_breast	6	0.6302855062557328	16015006	38880894692043.48	16374272	1030250877051.1	0.9072100097101309
SRP014320	cervix	counts	0.2656130658841943	0.5503060832515985	SRP014320_cervix	8	0.9436618197662514	9119199.5	5889890500118.696	9119199.5	5889890500118.696	0.9436618197662514
SRP014320	colon	counts	0.14110582176222497	0.5201248966072853	SRP014320_colon	6	0.993925000194255	18196164.5	1213168636962.2666	18196164.5	1213168636962.2666	0.993925000194255
SRP014320	liver	counts	0.26092003628686866	0.5470274566728222	SRP014320_liver	9	0.9576178866346161	10134579	28528964545511.36	10134579	28528964545511.36	0.9576178866346161
SRP014320	muscle	counts	0.16267607727716837	0.5281281988573028	SRP014320_muscle	10	0.8448416148651794	18709342	2682327361548.7666	18709342	2682327361548.7666	0.8448416148651794
SRP014320	skin	counts	0.14439381972319298	0.5384923823507961	SRP014320_skin	6	0.8344050970556629	12199853	25263107562665.5	12199853	25263107562665.5	0.8344050970556629
SRP014320	stem_cell	counts	0.16654208233880366	0.538720614302747	SRP014320_stem_cell	13	0.8400777386675694	10121720	34458880791022.6	10121720	34458880791022.6	0.8400777386675694
SRP014428	brain	counts	0.13977474557409958	0.5249202537106612	SRP014428_brain	21	0.6140587557360145	23663787	116182163747555.8	24381123	123995652131527.47	0.6485866138436749
SRP014428	colon	counts	-0.0012543583493227976	0.49366701282997383	SRP014428_colon	28	0.6023915936905304	24035798.5	32331538246607.676	24035798.5	32331538246607.676	0.6023915936905304
SRP014428	stem_cell	counts	0.06740888147145618	0.5031471310126108	SRP014428_stem_cell	8	0.5511803998019791	23002100	5430442346804.286	23002100	5430442346804.286	0.5511803998019791
SRP014620	stem_cell	counts	0.2020826726772779	0.5379003486705187	SRP014620_stem_cell	15	0.8299871884283851	13580141	71173661026559.27	13580141	71173661026559.27	0.8299871884283851
SRP014675	brain	counts	0.452966562765912	0.5779243034330648	SRP014675_brain	26	0.4678880118654588	15059068	29528866523389.28	14698041	11253312405733.434	0.5182027457505445
SRP014688	tonsil	counts	0.14848396330043298	0.5338970639591025	SRP014688_tonsil	5	0.7327226860888533	20614248	375608619087708.5	20614248	375608619087708.5	0.7327226860888533
SRP015360	spinal_cord	counts	0.3682118988376679	0.5564809337361112	SRP015360_spinal_cord	6	0.9660632249915169	47482203.5	95067479110366.8	47482203.5	95067479110366.8	0.9660632249915169
SRP015439	blood	counts	0.3217390477762021	0.5531241161352227	SRP015439_blood	7	0.8111350514655906	22651887	77726658664785.67	22651887	77726658664785.67	0.8111350514655906
SRP015640	kidney	counts	0.21764086891495596	0.5541868679106301	SRP015640_kidney	5	0.9679947021145808	3515175	7119089150068.7	3515175	7119089150068.7	0.9679947021145808
SRP015640	spinal_cord	counts	0.32395322932415466	0.5752536639602113	SRP015640_spinal_cord	57	0.9090154041963294	2642180.5	73831362044260.98	2644352	74887310556769.42	0.9091715197397074
SRP015668	brain	counts	0.28712957966043823	0.5555515384785394	SRP015668_brain	32	0.8650697378077828	1315936	994204320931.4395	1320813	940413146278.9637	0.8676602501752115
SRP015670	spinal_cord	counts	0.2857811855410339	0.5530810661493888	SRP015670_spinal_cord	40	0.8411781540561951	12639987	22093931741481.95	12639987	22093931741481.95	0.8411781540561951
SRP016059	heart	counts	0.3477961013887491	0.5671573513077419	SRP016059_heart	6	0.5871853868247949	13571502.5	13870383891878.268	13571502.5	13870383891878.268	0.5871853868247949
SRP016140	stem_cell	counts	0.2102670189424592	0.5486881261681447	SRP016140_stem_cell	5	0.9181495352353376	49230487	358905269209643	49230487	358905269209643	0.9181495352353376
SRP016583	skin	counts	0.10980245095097238	0.5247084879906652	SRP016583_skin	6	0.9336400081635008	13984427.5	2188477567450	13984427.5	2188477567450	0.9336400081635008
SRP017138	blood	counts	0.3202451511048352	0.5479773080705854	SRP017138_blood	16	0.8153073995931062	10525424.5	16342673398086.096	10525424.5	16342673398086.096	0.8153073995931062
SRP017411	cervix	counts	0.08100122220254334	0.5148997831011002	SRP017411_cervix	14	0.4995956554314964	9683453	32031586873514.543	10753745	30571488621383.15	0.4933656853795485
SRP017575	breast	counts	0.3467079613936737	0.5822795793192199	SRP017575_breast	52	0.8127863280061706	4743264.5	9933587660267.701	4743264.5	9933587660267.701	0.8127863280061706
SRP017631	lung	counts	0.3086078666300251	0.5633635271169624	SRP017631_lung	8	0.9201548221684936	38751698.5	442257294463807.1	38751698.5	442257294463807.1	0.9201548221684936
SRP017933	brain	counts	0.18301735624088009	0.5438361798487676	SRP017933_brain	25	0.7273783459580137	1180479	713157146314.0834	1180479	713157146314.0834	0.7273783459580137
SRP017959	brain	counts	0.15982908855115668	0.5295789996971507	SRP017959_brain	5	0.7966378839992087	8504891	119399688816788.8	8504891	119399688816788.8	0.7966378839992087
SRP018020	umbilical_cord	counts	0.04580789062694539	0.517662729235326	SRP018020_umbilical_cord	16	0.6876624684378905	3843264	2927657881432.9956	3843264	2927657881432.9956	0.6876624684378905
SRP018254	blood	counts	0.22966546094539148	0.5375569660636756	SRP018254_blood	9	0.9758368407356841	98533071	102407538153042.11	98533071	102407538153042.11	0.9758368407356841
SRP018525	umbilical_cord	counts	0.11066459681303645	0.5113972487083629	SRP018525_umbilical_cord	19	0.3828039267473753	8006217.5	2669955656103.0786	8406288	1386356978524.427	0.38400700240781294
SRP018861	bone	counts	0.4286919733536894	0.576572313770157	SRP018861_bone	21	0.9490740843284625	7118897	4545492237961.434	7118897	4545492237961.434	0.9490740843284625
SRP018883	epithelium	counts	0.21933594917793878	0.5391238540905761	SRP018883_epithelium	8	0.9347491867026323	11821696.5	2779870903195.357	11821696.5	2779870903195.357	0.9347491867026323
SRP019241	stem_cell	counts	0.14164335513212972	0.5175995855138353	SRP019241_stem_cell	8	0.48511557096188607	6644114	5023982268676.019	7325888.5	5929047005176.839	0.6475018931684982
SRP019762	brain	counts	0.21208709422424982	0.5482242668513209	SRP019762_brain	14	0.9302012121598267	14021091.5	1231174015556.2637	14021091.5	1231174015556.2637	0.9302012121598267
SRP019936	breast	counts	0.24815304310844796	0.539607157210412	SRP019936_breast	32	0.655014660154117	10593486	26835339576058.645	10593486	26835339576058.645	0.655014660154117
SRP020491	tonsil	counts	0.48479743082932003	0.58246875167697	SRP020491_tonsil	54	0.9687878524990358	11467647.5	3731477914169.293	11467647.5	3731477914169.293	0.9687878524990358
SRP020492	blood	counts	0.5428812212047112	0.596275649143081	SRP020492_blood	53	0.9757664705593362	11469549	2691983952604.537	11469549	2691983952604.537	0.9757664705593362
SRP021085	blood	counts	0.4203379477414222	0.557622402760444	SRP021085_blood	30	0.9632492734389628	12437413	915285137703.9126	12437413	915285137703.9126	0.9632492734389628
SRP021134	stem_cell	counts	0.12867991918162322	0.521626692164773	SRP021134_stem_cell	8	0.8963846401937632	9886405.5	438010865254.5	9886405.5	438010865254.5	0.8963846401937632
SRP021193	heart	counts	0.5728738833325419	0.5926502094034731	SRP021193_heart	40	0.49692973723525957	5236812.5	4353674480076.3286	6416126.5	4415663062974.061	0.93926487954579585
SRP021214	umbilical_cord	counts	0.14477847498585802	0.5502163136002309	SRP021214_umbilical_cord	7	0.8447599094176782	19548961	64244531380096.29	19548961	64244531380096.29	0.8447599094176782
SRP021509	tonsil	counts	0.3576696142951721	0.5661987076150581	SRP021509_tonsil	43	0.8239436731812138	50507608	201907085215765.3	50507608	201907085215765.3	0.8239436731812138
SRP021917	colon	counts	0.5444373238467763	0.599260854631666	SRP021917_colon	15	0.8910983261521329	4186298	9839859488426.781	4186298	9839859488426.781	0.8910983261521329
SRP021924	brain	counts	0.0641035095991254	0.5141496365449711	SRP021924_brain	5	0.9531670823274834	9209843	4612142342549.8	9209843	4612142342549.8	0.9531670823274834
SRP022028	brain	counts	0.20293433523706572	0.5427705441829858	SRP022028_brain	8	0.8889783948801231	17082347.5	59526538499059.64	17082347.5	59526538499059.64	0.8889783948801231
SRP022054	colon	counts	0.35715793331640283	0.5836951605188005	SRP022054_colon	13	0.4755287535628296	2398524.5	18435373181831.3	2696227	19232011467578.91	0.4883351893313418
SRP022054	liver	counts	0.19475676847185489	0.5585292700288846	SRP022054_liver	7	0.4502881807119347	2501685	17680256891628.777	2501685	21151512467973.906	0.49524435203401906
SRP022054	umbilical_cord	counts	0.3373116145227724	0.57864092202135	SRP022054_umbilical_cord	12	0.3746274490731103	1302998	25495070844225.973	4528689.5	27651977464999.152	0.4417812858700708
SRP022133	blood	counts	0.3783990338900456	0.5512350013163996	SRP022133_blood	25	0.9490749593182713	8389946	5146524410732.144	8389946	5146524410732.144	0.9490749593182713
