project	tissue	method	recall	precision	dataset	positives	negatives	prior	log2_precision_over_prior
SRP012682	heart	TMM_wTO	10	0.003472222222222222	SRP012682_heart	529	164120	0.0032128953106304926	0.11198531059434762
SRP012682	kidney	TMM_wTO	10	0.0055896709179656745	SRP012682_kidney	767	220365	0.0034685165421558164	0.6884445842940312
SRP012682	liver	TMM_wTO	10	0.010752688172043012	SRP012682_liver	1061	238312	0.00443241301232804	1.2785331555523491
SRP012682	lung	TMM_wTO	10	0.002613240418118467	SRP012682_lung	311	117840	0.0026322248647916648	-0.010442881681161878
SRP012682	muscle	TMM_wTO	10	0.010481770833333333	SRP012682_muscle	1657	264040	0.006236427208436678	0.7490908080897465
SRP012682	nerve	TMM_wTO	10	0.00782810128604521	SRP012682_nerve	2031	289701	0.006961869112747316	0.16918773199535592
SRP012682	ovary	TMM_wTO	10	0.008118433619866285	SRP012682_ovary	346	143912	0.0023984805002148927	1.759080688588613
SRP012682	pancreas	TMM_wTO	10	9.328358208955224e-4	SRP012682_pancreas	59	54795	0.0010755824552448317	-0.20542303326515352
SRP012682	prostate	TMM_wTO	10	0.004830917874396135	SRP012682_prostate	140	84704	0.0016500872188958558	1.5497550439383676
SRP012682	skin	TMM_wTO	10	0.022806004618937645	SRP012682_skin	711	185757	0.0038129866786794516	2.5804203273412942
SRP012682	spleen	TMM_wTO	10	8.500621199241483e-4	SRP012682_spleen	121	50884	0.0023723164395647485	-1.480656283615872
SRP012682	testis	TMM_wTO	10	0.006462110646211065	SRP012682_testis	1347	247180	0.005419934252616416	0.2537301022339512
SRP012682	uterus	TMM_wTO	10	0.024161073825503355	SRP012682_uterus	1085	154897	0.006955930812529651	1.7963690878683938
SRP012682	adipose_tissue	TMM	10	0.0034662045060658577	SRP012682_adipose_tissue	93	59080	0.0015716627515927873	1.14106509964314
SRP012682	blood	TMM	10	0.034127375956553935	SRP012682_blood	5692	414703	0.013539647236527551	1.333739339057213
SRP012682	bone_marrow	TMM	10	7.363770250368188e-4	SRP012682_bone_marrow	51	50279	0.001013312139876813	-0.4605621288319632
SRP012682	brain	TMM	10	0.018072844628861228	SRP012682_brain	4089	443669	0.009132165142778018	0.984794747242796
SRP012682	breast	TMM	10	0.027819548872180452	SRP012682_breast	741	135945	0.005421184320266889	2.3594190605135292
SRP012682	cervix_uteri	TMM	10	0.022569444444444444	SRP012682_cervix_uteri	1847	210257	0.008707992305661374	1.3739588685923358
SRP012682	colon	TMM	10	0.0010757314974182443	SRP012682_colon	59	59499	9.906309815641895e-4	0.11889837967829922
SRP012682	fallopian_tube	TMM	10	0.018276762402088774	SRP012682_fallopian_tube	50	42216	0.0011829839587375196	3.9495081139291517
SRP012682	heart	TMM	10	0.041666666666666664	SRP012682_heart	529	164120	0.0032128953106304926	3.696947811315504
