project	tissue	method	log2_auprc_over_prior	dataset	auROC	sample_num	unfiltered_median_spearman	unfiltered_counts_sample_sums_median	unfiltered_counts_sample_sums_variance	counts_sample_sums_median	counts_sample_sums_variance	median_spearman
SRP013021	prostate	RPKM	0.03272983335218924	SRP013021_prostate	0.5176829541861423	15	0.697165008741557	13956525	569323016389530.5	13956525	569323016389530.5	0.697165008741557
SRP013299	stem_cell	RPKM	0.32480916894507017	SRP013299_stem_cell	0.5443509823996173	19	0.7273337241848127	8276311	1120239033725.339	8276311	1120239033725.339	0.7273337241848127
SRP013402	skin	RPKM	0.10297274227460015	SRP013402_skin	0.5504354942207499	5	0.9590638666825776	3237887	1148890868172.5	3237887	1148890868172.5	0.9590638666825776
SRP013456	kidney	RPKM	0.3902678576351838	SRP013456_kidney	0.5672337332868054	6	0.9344599404718462	2067028	442504412456.7	2067028	442504412456.7	0.9344599404718462
SRP013825	brain	RPKM	0.3426360762527936	SRP013825_brain	0.5387933397165234	23	0.856404725200316	2951181	1153413698165.7234	2951181	1153413698165.7234	0.856404725200316
SRP014146	skin	RPKM	0.3274787573814427	SRP014146_skin	0.5422452120603722	15	0.9003468953908378	11883184	7949516181969.543	11883184	7949516181969.543	0.9003468953908378
SRP014320	blood	RPKM	0.27934247127350387	SRP014320_blood	0.5254040778884956	34	0.8832489433928564	10522689	43394342514397.83	10522689	43394342514397.83	0.8832489433928564
SRP014320	breast	RPKM	0.21633354641581115	SRP014320_breast	0.5307466984996445	6	0.6302855062557328	16015006	38880894692043.48	16374272	1030250877051.1	0.9072100097101309
SRP014320	cervix	RPKM	0.5297047768132979	SRP014320_cervix	0.5364884670352481	8	0.9436618197662514	9119199.5	5889890500118.696	9119199.5	5889890500118.696	0.9436618197662514
SRP014320	colon	RPKM	-0.0726817167463403	SRP014320_colon	0.4746039783772602	6	0.993925000194255	18196164.5	1213168636962.2666	18196164.5	1213168636962.2666	0.993925000194255
SRP014320	liver	RPKM	0.25482953142265874	SRP014320_liver	0.5257541874556253	9	0.9576178866346161	10134579	28528964545511.36	10134579	28528964545511.36	0.9576178866346161
SRP014320	muscle	RPKM	0.3925150876602031	SRP014320_muscle	0.5485157830886607	10	0.8448416148651794	18709342	2682327361548.7666	18709342	2682327361548.7666	0.8448416148651794
SRP014320	skin	RPKM	0.4996567405503674	SRP014320_skin	0.571833125588725	6	0.8344050970556629	12199853	25263107562665.5	12199853	25263107562665.5	0.8344050970556629
SRP014320	stem_cell	RPKM	0.7440514981404964	SRP014320_stem_cell	0.5786693939261696	13	0.8400777386675694	10121720	34458880791022.6	10121720	34458880791022.6	0.8400777386675694
SRP014428	brain	RPKM	0.6052045062548441	SRP014428_brain	0.579090918531751	21	0.6140587557360145	23663787	116182163747555.8	24381123	123995652131527.47	0.6485866138436749
SRP014428	colon	RPKM	0.08785668610579511	SRP014428_colon	0.5215024449633567	28	0.6023915936905304	24035798.5	32331538246607.676	24035798.5	32331538246607.676	0.6023915936905304
SRP014428	stem_cell	RPKM	0.10032977666410216	SRP014428_stem_cell	0.4851534047232171	8	0.5511803998019791	23002100	5430442346804.286	23002100	5430442346804.286	0.5511803998019791
SRP014620	stem_cell	RPKM	0.6793282301570512	SRP014620_stem_cell	0.562085674871053	15	0.8299871884283851	13580141	71173661026559.27	13580141	71173661026559.27	0.8299871884283851
SRP014675	brain	RPKM	0.34806470663002126	SRP014675_brain	0.5665435388284905	26	0.4678880118654588	15059068	29528866523389.28	14698041	11253312405733.434	0.5182027457505445
SRP015360	spinal_cord	RPKM	-0.09065229851230798	SRP015360_spinal_cord	0.5056690438097924	6	0.9660632249915169	47482203.5	95067479110366.8	47482203.5	95067479110366.8	0.9660632249915169
SRP015439	blood	RPKM	0.574092650490415	SRP015439_blood	0.5622500078180259	7	0.8111350514655906	22651887	77726658664785.67	22651887	77726658664785.67	0.8111350514655906
SRP015640	kidney	RPKM	0.18951754411781122	SRP015640_kidney	0.5473611321337728	5	0.9679947021145808	3515175	7119089150068.7	3515175	7119089150068.7	0.9679947021145808
SRP015640	spinal_cord	RPKM	0.30171442636297474	SRP015640_spinal_cord	0.5409896586585852	57	0.9090154041963294	2642180.5	73831362044260.98	2644352	74887310556769.42	0.9091715197397074
SRP015668	brain	RPKM	0.4419009237341571	SRP015668_brain	0.5662164847462492	32	0.8650697378077828	1315936	994204320931.4395	1320813	940413146278.9637	0.8676602501752115
SRP015670	spinal_cord	RPKM	0.1245458760571798	SRP015670_spinal_cord	0.5463944439157089	40	0.8411781540561951	12639987	22093931741481.95	12639987	22093931741481.95	0.8411781540561951
SRP016059	heart	RPKM	0.2710832734496184	SRP016059_heart	0.5575902357085596	6	0.5871853868247949	13571502.5	13870383891878.268	13571502.5	13870383891878.268	0.5871853868247949
SRP016140	stem_cell	RPKM	0.40160288501387825	SRP016140_stem_cell	0.592334919234272	5	0.9181495352353376	49230487	358905269209643	49230487	358905269209643	0.9181495352353376
SRP016583	skin	RPKM	0.22333462249135447	SRP016583_skin	0.48738869038895594	6	0.9336400081635008	13984427.5	2188477567450	13984427.5	2188477567450	0.9336400081635008
SRP017138	blood	RPKM	0.049119048162554045	SRP017138_blood	0.49901124048215095	16	0.8153073995931062	10525424.5	16342673398086.096	10525424.5	16342673398086.096	0.8153073995931062
SRP017411	cervix	RPKM	0.37720098312797135	SRP017411_cervix	0.5444623373644255	14	0.4995956554314964	9683453	32031586873514.543	10753745	30571488621383.15	0.4933656853795485
