ensembl_ids	type_of_gene
ENSG00000284412	miRNA
ENSG00000265226	miRNA
ENSG00000266038	miRNA
ENSG00000266421	miRNA
ENSG00000263407	miRNA
ENSG00000264158	miRNA
ENSG00000266619	miRNA
ENSG00000212024	miRNA
ENSG00000283673	miRNA
ENSG00000265694	miRNA
ENSG00000207778	miRNA
ENSG00000284276	miRNA
ENSG00000264961	miRNA
ENSG00000264292	miRNA
ENSG00000284079	miRNA
ENSG00000266140	miRNA
ENSG00000265986	miRNA
ENSG00000283734	miRNA
ENSG00000264371	miRNA
ENSG00000266276	miRNA
ENSG00000282900	miRNA
ENSG00000284596	miRNA
ENSG00000264102	miRNA
ENSG00000266593	miRNA
ENSG00000264793	miRNA
ENSG00000266437	miRNA
ENSG00000283386	miRNA
ENSG00000265284	miRNA
ENSG00000265612	miRNA
ENSG00000265734	miRNA
ENSG00000264211	miRNA
ENSG00000264099	miRNA
ENSG00000284149	miRNA
ENSG00000264737	miRNA
ENSG00000264377	miRNA
ENSG00000264233	miRNA
ENSG00000263964	miRNA
ENSG00000265372	miRNA
ENSG00000264419	miRNA
ENSG00000284085	miRNA
ENSG00000266144	miRNA
ENSG00000284564	miRNA
ENSG00000284532	miRNA
ENSG00000263533	miRNA
ENSG00000265744	miRNA
ENSG00000265422	miRNA
ENSG00000283569	miRNA
ENSG00000284261	miRNA
ENSG00000284252	miRNA
ENSG00000264974	miRNA
ENSG00000284284	miRNA
ENSG00000266109	miRNA
ENSG00000265719	miRNA
ENSG00000265510	miRNA
ENSG00000283803	miRNA
ENSG00000264468	miRNA
ENSG00000265902	miRNA
ENSG00000284435	miRNA
ENSG00000263643	miRNA
ENSG00000266305	miRNA
ENSG00000283160	miRNA
ENSG00000265483	miRNA
ENSG00000284368	miRNA
ENSG00000266150	miRNA
ENSG00000265064	miRNA
ENSG00000263926	miRNA
ENSG00000284031	miRNA
ENSG00000266887	miRNA
ENSG00000274054	miRNA
ENSG00000264279	miRNA
ENSG00000283569	miRNA
ENSG00000283204	miRNA
ENSG00000263849	miRNA
ENSG00000264101	miRNA
ENSG00000264781	miRNA
ENSG00000266611	miRNA
ENSG00000284118	miRNA
ENSG00000265879	miRNA
ENSG00000264309	miRNA
ENSG00000265144	miRNA
ENSG00000263979	miRNA
ENSG00000266245	miRNA
ENSG00000264975	miRNA
ENSG00000264480	miRNA
ENSG00000266564	miRNA
ENSG00000264616	miRNA
ENSG00000264319	miRNA
ENSG00000264585	miRNA
ENSG00000251862	miRNA
ENSG00000263676	miRNA
ENSG00000284518	miRNA
ENSG00000265617	miRNA
ENSG00000264941	miRNA
ENSG00000265003	miRNA
ENSG00000265976	miRNA
ENSG00000265829	miRNA
ENSG00000265599	miRNA
ENSG00000284247	miRNA
ENSG00000284525	miRNA
ENSG00000263510	miRNA
ENSG00000266807	miRNA
ENSG00000265368	miRNA
ENSG00000264200	miRNA
ENSG00000284361	miRNA
ENSG00000266827	miRNA
ENSG00000266515	miRNA
ENSG00000264525	miRNA
ENSG00000264474	miRNA
ENSG00000283301	miRNA
ENSG00000264268	miRNA
ENSG00000266618	miRNA
ENSG00000264010	miRNA
ENSG00000266006	miRNA
ENSG00000264658	miRNA
ENSG00000266354	miRNA
ENSG00000266078	miRNA
ENSG00000266517	miRNA
ENSG00000265301	miRNA
ENSG00000265253	miRNA
ENSG00000283971	miRNA
ENSG00000264906	miRNA
ENSG00000263834	miRNA
ENSG00000266507	miRNA
ENSG00000266110	miRNA
ENSG00000264610	miRNA
ENSG00000283842	miRNA
ENSG00000264408	miRNA
ENSG00000265433	miRNA
ENSG00000263838	miRNA
ENSG00000284541	miRNA
ENSG00000265653	miRNA
ENSG00000266531	miRNA
ENSG00000265584	miRNA
ENSG00000264926	miRNA
ENSG00000264810	miRNA
ENSG00000265503	miRNA
ENSG00000266461	miRNA
ENSG00000263831	miRNA
ENSG00000265507	miRNA
ENSG00000284265	miRNA
ENSG00000033050	protein_coding
ENSG00000258766	antisense_RNA
ENSG00000230630	antisense_RNA
ENSG00000283634	miRNA
ENSG00000025434	protein_coding
ENSG00000225868	transcribed_unprocessed_pseudogene
ENSG00000272414	protein_coding
ENSG00000138495	protein_coding
ENSG00000281881	lincRNA
ENSG00000228705	antisense_RNA
ENSG00000268592	antisense_RNA
ENSG00000223701	antisense_RNA
ENSG00000261359	antisense_RNA
ENSG00000204152	protein_coding
ENSG00000259282	antisense_RNA
ENSG00000241111	antisense_RNA
ENSG00000245857	lincRNA
ENSG00000182329	protein_coding
ENSG00000246627	antisense_RNA
ENSG00000272523	lincRNA
ENSG00000271649	lincRNA
ENSG00000269037	lincRNA
ENSG00000267719	lincRNA
ENSG00000281186	lincRNA
ENSG00000257550	antisense_RNA
ENSG00000262748	protein_coding
ENSG00000178404	protein_coding
ENSG00000140497	protein_coding
ENSG00000263290	protein_coding
ENSG00000116521	protein_coding
ENSG00000137496	protein_coding
ENSG00000156253	protein_coding
ENSG00000150394	protein_coding
ENSG00000205277	protein_coding
ENSG00000254986	protein_coding
ENSG00000169371	protein_coding
ENSG00000253438	lincRNA
ENSG00000258777	lincRNA
ENSG00000086758	protein_coding
ENSG00000060656	protein_coding
ENSG00000230658	lincRNA
ENSG00000281691	antisense_RNA
ENSG00000064201	protein_coding
ENSG00000184281	protein_coding
ENSG00000054793	protein_coding
ENSG00000113100	protein_coding
ENSG00000090470	protein_coding
ENSG00000203645	lincRNA
ENSG00000263155	protein_coding
ENSG00000183098	protein_coding
ENSG00000006611	protein_coding
ENSG00000281392	lincRNA
ENSG00000266478	miRNA
ENSG00000263816	miRNA
ENSG00000264796	miRNA
ENSG00000264722	miRNA
ENSG00000263909	miRNA
ENSG00000264387	miRNA
ENSG00000283645	miRNA
ENSG00000263705	miRNA
ENSG00000266780	miRNA
ENSG00000266570	miRNA
ENSG00000266756	miRNA
ENSG00000263354	miRNA
ENSG00000266072	miRNA
ENSG00000265345	miRNA
ENSG00000277841	miRNA
ENSG00000264824	miRNA
ENSG00000264857	miRNA
ENSG00000265331	miRNA
ENSG00000283598	miRNA
ENSG00000263675	miRNA
ENSG00000284256	miRNA
ENSG00000264580	miRNA
ENSG00000263795	miRNA
ENSG00000264984	miRNA
ENSG00000266721	miRNA
ENSG00000266668	miRNA
ENSG00000266203	miRNA
ENSG00000265135	miRNA
ENSG00000263540	miRNA
ENSG00000266383	miRNA
ENSG00000266307	miRNA
ENSG00000266240	miRNA
ENSG00000263987	miRNA
ENSG00000266148	miRNA
ENSG00000284584	miRNA
ENSG00000263981	miRNA
ENSG00000266124	miRNA
ENSG00000265160	miRNA
ENSG00000264314	miRNA
ENSG00000266099	miRNA
ENSG00000265598	miRNA
ENSG00000263881	miRNA
ENSG00000283616	miRNA
ENSG00000264539	miRNA
ENSG00000264330	miRNA
ENSG00000284407	miRNA
ENSG00000264512	miRNA
ENSG00000264986	miRNA
ENSG00000265859	miRNA
ENSG00000266758	miRNA
ENSG00000284059	miRNA
ENSG00000264477	miRNA
ENSG00000283676	miRNA
ENSG00000283146	miRNA
ENSG00000283929	miRNA
ENSG00000264090	miRNA
ENSG00000265527	miRNA
ENSG00000265390	miRNA
ENSG00000264802	miRNA
ENSG00000264653	miRNA
ENSG00000284450	miRNA
ENSG00000263363	miRNA
ENSG00000264614	miRNA
ENSG00000265521	miRNA
ENSG00000265588	miRNA
ENSG00000263456	miRNA
ENSG00000266502	miRNA
ENSG00000264966	miRNA
ENSG00000266545	miRNA
ENSG00000266328	miRNA
ENSG00000265929	miRNA
ENSG00000263652	miRNA
ENSG00000265993	miRNA
ENSG00000264621	miRNA
ENSG00000266318	miRNA
ENSG00000264999	miRNA
ENSG00000263372	miRNA
ENSG00000263783	miRNA
ENSG00000284034	miRNA
ENSG00000263800	miRNA
ENSG00000264483	miRNA
ENSG00000284176	miRNA
ENSG00000274306	miRNA
ENSG00000264056	miRNA
ENSG00000266431	miRNA
ENSG00000264084	miRNA
ENSG00000265470	miRNA
ENSG00000283726	miRNA
ENSG00000266146	miRNA
ENSG00000284092	miRNA
ENSG00000265924	miRNA
ENSG00000263750	miRNA
ENSG00000264406	miRNA
ENSG00000264536	miRNA
ENSG00000263511	miRNA
ENSG00000266097	miRNA
ENSG00000263629	miRNA
ENSG00000263381	miRNA
ENSG00000284035	miRNA
ENSG00000283505	miRNA
ENSG00000263741	miRNA
ENSG00000266204	miRNA
ENSG00000102103	protein_coding
ENSG00000247473	antisense_RNA
ENSG00000282355	antisense_RNA
ENSG00000248730	antisense_RNA
ENSG00000228853	sense_intronic
ENSG00000229956	processed_transcript
ENSG00000249917	lincRNA
ENSG00000278970	TEC
ENSG00000164176	protein_coding
ENSG00000227617	processed_transcript
ENSG00000265817	protein_coding
ENSG00000250958	lincRNA
ENSG00000281664	lincRNA
ENSG00000229356	antisense_RNA
ENSG00000227409	antisense_RNA
ENSG00000224101	antisense_RNA
ENSG00000237328	antisense_RNA
ENSG00000248256	antisense_RNA
ENSG00000237714	antisense_RNA
ENSG00000224122	antisense_RNA
ENSG00000225759	lincRNA
ENSG00000282301	protein_coding
ENSG00000260738	antisense_RNA
ENSG00000260962	lincRNA
ENSG00000261206	lincRNA
ENSG00000260094	lincRNA
ENSG00000261498	lincRNA
ENSG00000117242	antisense_RNA
ENSG00000260388	lincRNA
ENSG00000261517	lincRNA
ENSG00000261666	lincRNA
ENSG00000261097	lincRNA
ENSG00000260910	lincRNA
ENSG00000280620	antisense_RNA
ENSG00000224405	antisense_RNA
ENSG00000246022	antisense_RNA
ENSG00000281991	protein_coding
ENSG00000230292	processed_transcript
ENSG00000223692	sense_intronic
ENSG00000231473	lincRNA
ENSG00000226510	antisense_RNA
ENSG00000132297	protein_coding
ENSG00000230806	antisense_RNA
ENSG00000252277	snoRNA
ENSG00000276844	snoRNA
ENSG00000224563	antisense_RNA
ENSG00000230020	antisense_RNA
ENSG00000234230	antisense_RNA
ENSG00000257551	antisense_RNA
ENSG00000231651	antisense_RNA
ENSG00000232878	antisense_RNA
ENSG00000235777	antisense_RNA
ENSG00000225602	antisense_RNA
ENSG00000236202	antisense_RNA
ENSG00000250930	antisense_RNA
ENSG00000250174	antisense_RNA
ENSG00000224855	antisense_RNA
ENSG00000224204	antisense_RNA
ENSG00000236188	antisense_RNA
ENSG00000239718	antisense_RNA
ENSG00000230489	antisense_RNA
ENSG00000284539	antisense_RNA
ENSG00000232832	antisense_RNA
ENSG00000250095	antisense_RNA
ENSG00000231871	antisense_RNA
ENSG00000229372	antisense_RNA
ENSG00000231535	lincRNA
ENSG00000229643	lincRNA
ENSG00000229111	antisense_RNA
ENSG00000235984	antisense_RNA
ENSG00000236520	antisense_RNA
ENSG00000227588	lincRNA
ENSG00000235593	antisense_RNA
ENSG00000255660	lincRNA
ENSG00000223882	antisense_RNA
ENSG00000240175	antisense_RNA
ENSG00000234601	antisense_RNA
ENSG00000234636	protein_coding
ENSG00000231383	antisense_RNA
ENSG00000230126	antisense_RNA
ENSG00000255082	antisense_RNA
ENSG00000239799	antisense_RNA
ENSG00000229154	antisense_RNA
ENSG00000230749	antisense_RNA
ENSG00000225578	antisense_RNA
ENSG00000248668	processed_transcript
ENSG00000228677	antisense_RNA
ENSG00000228213	antisense_RNA
ENSG00000255043	antisense_RNA
ENSG00000254453	antisense_RNA
ENSG00000241359	antisense_RNA
ENSG00000235397	antisense_RNA
ENSG00000242522	antisense_RNA
ENSG00000226978	antisense_RNA
ENSG00000230115	antisense_RNA
ENSG00000231304	processed_transcript
ENSG00000243849	antisense_RNA
ENSG00000231636	antisense_RNA
ENSG00000230082	antisense_RNA
ENSG00000242925	antisense_RNA
ENSG00000241648	antisense_RNA
ENSG00000240549	antisense_RNA
ENSG00000228598	antisense_RNA
ENSG00000234076	lincRNA
ENSG00000251372	lincRNA
ENSG00000237883	antisense_RNA
ENSG00000253733	lincRNA
ENSG00000253394	lincRNA
ENSG00000228126	lincRNA
ENSG00000224177	lincRNA
ENSG00000228787	antisense_RNA
ENSG00000236088	processed_transcript
ENSG00000224329	lincRNA
ENSG00000227659	antisense_RNA
ENSG00000228842	antisense_RNA
ENSG00000237152	antisense_RNA
ENSG00000225037	antisense_RNA
ENSG00000230215	antisense_RNA
ENSG00000224517	antisense_RNA
ENSG00000240596	antisense_RNA
ENSG00000242370	antisense_RNA
ENSG00000235191	antisense_RNA
ENSG00000225263	antisense_RNA
ENSG00000233840	antisense_RNA
ENSG00000236836	antisense_RNA
ENSG00000239608	antisense_RNA
ENSG00000232287	antisense_RNA
ENSG00000240541	antisense_RNA
ENSG00000223791	antisense_RNA
ENSG00000238141	antisense_RNA
ENSG00000233509	antisense_RNA
ENSG00000280907	antisense_RNA
ENSG00000226482	antisense_RNA
ENSG00000229918	antisense_RNA
ENSG00000229780	antisense_RNA
ENSG00000227646	processed_transcript
ENSG00000244502	antisense_RNA
ENSG00000235849	antisense_RNA
ENSG00000229867	antisense_RNA
ENSG00000173811	antisense_RNA
ENSG00000225235	antisense_RNA
ENSG00000227610	antisense_RNA
ENSG00000177993	antisense_RNA
ENSG00000230710	lincRNA
ENSG00000242767	lincRNA
ENSG00000226317	lincRNA
ENSG00000229578	lincRNA
ENSG00000230040	lincRNA
ENSG00000224511	lincRNA
ENSG00000226240	lincRNA
ENSG00000231061	antisense_RNA
ENSG00000237879	lincRNA
ENSG00000230156	lincRNA
ENSG00000225179	lincRNA
ENSG00000229307	lincRNA
ENSG00000226722	lincRNA
ENSG00000258537	lincRNA
ENSG00000261446	lincRNA
ENSG00000223685	lincRNA
ENSG00000223662	antisense_RNA
ENSG00000223392	antisense_RNA
ENSG00000227528	antisense_RNA
ENSG00000223815	antisense_RNA
ENSG00000226627	antisense_RNA
ENSG00000240198	antisense_RNA
ENSG00000240254	antisense_RNA
ENSG00000232814	antisense_RNA
ENSG00000250218	antisense_RNA
ENSG00000232684	antisense_RNA
ENSG00000232490	antisense_RNA
ENSG00000239445	antisense_RNA
ENSG00000232132	antisense_RNA
ENSG00000236051	processed_transcript
ENSG00000235897	antisense_RNA
ENSG00000225542	antisense_RNA
ENSG00000234717	lincRNA
ENSG00000223351	lincRNA
ENSG00000234377	antisense_RNA
ENSG00000227213	antisense_RNA
ENSG00000256025	antisense_RNA
ENSG00000256271	antisense_RNA
ENSG00000224574	antisense_RNA
ENSG00000243715	antisense_RNA
ENSG00000235875	antisense_RNA
ENSG00000226272	antisense_RNA
ENSG00000236581	processed_transcript
ENSG00000241155	antisense_RNA
ENSG00000255867	antisense_RNA
ENSG00000254960	antisense_RNA
ENSG00000224805	antisense_RNA
ENSG00000251015	lincRNA
ENSG00000230539	sense_intronic
ENSG00000230921	sense_intronic
ENSG00000250223	sense_intronic
ENSG00000233602	sense_intronic
ENSG00000236996	sense_intronic
ENSG00000233540	sense_intronic
ENSG00000254049	sense_intronic
ENSG00000232558	sense_intronic
ENSG00000233496	sense_intronic
ENSG00000225623	sense_intronic
ENSG00000253187	antisense_RNA
ENSG00000224771	sense_intronic
ENSG00000233756	sense_intronic
ENSG00000223941	sense_intronic
ENSG00000231134	sense_intronic
ENSG00000225479	sense_intronic
ENSG00000237738	sense_intronic
ENSG00000231948	sense_intronic
ENSG00000232082	sense_intronic
ENSG00000231729	sense_intronic
ENSG00000249553	sense_intronic
ENSG00000230148	antisense_RNA
ENSG00000250451	antisense_RNA
ENSG00000250133	processed_transcript
ENSG00000251151	processed_transcript
ENSG00000249641	antisense_RNA
ENSG00000256257	sense_intronic
ENSG00000230789	sense_intronic
ENSG00000249885	sense_intronic
ENSG00000235285	sense_intronic
ENSG00000233303	antisense_RNA
ENSG00000262679	antisense_RNA
ENSG00000249310	antisense_RNA
ENSG00000280989	lincRNA
ENSG00000113163	protein_coding
ENSG00000249348	antisense_RNA
ENSG00000233009	antisense_RNA
ENSG00000283035	antisense_RNA
ENSG00000258609	lincRNA
ENSG00000224257	sense_intronic
ENSG00000226846	lincRNA
ENSG00000236242	antisense_RNA
ENSG00000255733	antisense_RNA
ENSG00000240012	antisense_RNA
ENSG00000231814	lincRNA
ENSG00000267060	protein_coding
ENSG00000108825	protein_coding
ENSG00000243406	transcribed_unprocessed_pseudogene
ENSG00000173338	protein_coding
ENSG00000040731	protein_coding
ENSG00000111962	protein_coding
ENSG00000262156	protein_coding
ENSG00000128383	protein_coding
ENSG00000162704	protein_coding
ENSG00000241553	protein_coding
ENSG00000111229	protein_coding
ENSG00000130429	protein_coding
ENSG00000115091	protein_coding
ENSG00000138071	protein_coding
ENSG00000168785	protein_coding
ENSG00000256576	lincRNA
ENSG00000281557	lincRNA
ENSG00000238198	lincRNA
ENSG00000213077	protein_coding
ENSG00000215162	lincRNA
ENSG00000259107	lincRNA
ENSG00000245954	lincRNA
ENSG00000204277	lincRNA
ENSG00000230798	antisense_RNA
ENSG00000213904	antisense_RNA
ENSG00000267654	lincRNA
ENSG00000233917	protein_coding
ENSG00000206140	protein_coding
ENSG00000235478	lincRNA
ENSG00000253549	antisense_RNA
ENSG00000267551	antisense_RNA
ENSG00000248469	antisense_RNA
ENSG00000206140	protein_coding
ENSG00000284274	lincRNA
ENSG00000245317	lincRNA
ENSG00000260896	lincRNA
ENSG00000243150	antisense_RNA
ENSG00000181908	lincRNA
ENSG00000273769	processed_transcript
ENSG00000260840	lincRNA
ENSG00000242512	lincRNA
ENSG00000259417	protein_coding
ENSG00000271086	lincRNA
ENSG00000237928	antisense_RNA
ENSG00000197934	antisense_RNA
ENSG00000227403	lincRNA
ENSG00000234323	lincRNA
ENSG00000233570	lincRNA
ENSG00000229243	lincRNA
ENSG00000228504	lincRNA
ENSG00000215029	protein_coding
ENSG00000268235	transcribed_unprocessed_pseudogene
ENSG00000215029	protein_coding
ENSG00000267779	lincRNA
ENSG00000256732	lincRNA
ENSG00000072195	protein_coding
ENSG00000250392	lincRNA
ENSG00000215866	lincRNA
ENSG00000276276	protein_coding
ENSG00000228696	protein_coding
ENSG00000275748	protein_coding
ENSG00000271383	protein_coding
ENSG00000264343	protein_coding
ENSG00000270629	protein_coding
ENSG00000283196	lincRNA
ENSG00000268674	protein_coding
ENSG00000237847	protein_coding
ENSG00000279132	protein_coding
ENSG00000266286	protein_coding
ENSG00000264717	protein_coding
ENSG00000270629	protein_coding
ENSG00000233223	antisense_RNA
ENSG00000235009	lincRNA
ENSG00000269955	protein_coding
ENSG00000145337	protein_coding
ENSG00000227145	antisense_RNA
ENSG00000140391	protein_coding
ENSG00000140937	protein_coding
ENSG00000196839	protein_coding
ENSG00000134198	protein_coding
ENSG00000095906	protein_coding
ENSG00000123297	protein_coding
ENSG00000117472	protein_coding
ENSG00000257599	antisense_RNA
ENSG00000283599	protein_coding
ENSG00000186399	protein_coding
ENSG00000214967	protein_coding
ENSG00000277983	protein_coding
ENSG00000268655	protein_coding
ENSG00000214967	protein_coding
ENSG00000214940	protein_coding
ENSG00000277983	protein_coding
ENSG00000226232	transcribed_unprocessed_pseudogene
ENSG00000108179	protein_coding
ENSG00000230525	lincRNA
ENSG00000278530	transcribed_unitary_pseudogene
ENSG00000214029	protein_coding
ENSG00000273696	protein_coding
ENSG00000271383	protein_coding
ENSG00000269433	protein_coding
ENSG00000234753	antisense_RNA
ENSG00000282095	protein_coding
ENSG00000283231	protein_coding
ENSG00000179412	protein_coding
ENSG00000260287	protein_coding
ENSG00000275760	protein_coding
ENSG00000273513	protein_coding
ENSG00000275153	protein_coding
ENSG00000274512	protein_coding
ENSG00000276349	protein_coding
ENSG00000228799	lincRNA
ENSG00000274419	protein_coding
ENSG00000140743	protein_coding
ENSG00000249241	lincRNA
ENSG00000284282	protein_coding
ENSG00000058600	protein_coding
ENSG00000266278	lincRNA
ENSG00000236819	lincRNA
ENSG00000273136	protein_coding
ENSG00000269713	protein_coding
ENSG00000225484	antisense_RNA
ENSG00000175215	protein_coding
ENSG00000237192	protein_coding
ENSG00000227472	protein_coding
ENSG00000235025	protein_coding
ENSG00000237703	protein_coding
ENSG00000137394	protein_coding
ENSG00000229346	protein_coding
ENSG00000229381	protein_coding
ENSG00000204613	protein_coding
ENSG00000163466	protein_coding
ENSG00000154162	protein_coding
ENSG00000235180	lincRNA
ENSG00000257585	lincRNA
ENSG00000263400	antisense_RNA
ENSG00000101049	protein_coding
ENSG00000113522	protein_coding
ENSG00000112984	protein_coding
ENSG00000138073	protein_coding
ENSG00000110422	protein_coding
ENSG00000281450	lincRNA
ENSG00000169018	protein_coding
ENSG00000132464	protein_coding
ENSG00000272395	polymorphic_pseudogene
ENSG00000115073	protein_coding
ENSG00000138107	protein_coding
ENSG00000281560	lincRNA
ENSG00000188042	protein_coding
ENSG00000280752	lincRNA
ENSG00000240567	lincRNA
ENSG00000281128	antisense_RNA
ENSG00000122644	protein_coding
ENSG00000172575	protein_coding
ENSG00000100246	protein_coding
ENSG00000006194	protein_coding
ENSG00000138095	protein_coding
ENSG00000073910	protein_coding
ENSG00000140945	protein_coding
ENSG00000143870	protein_coding
ENSG00000126602	protein_coding
ENSG00000123240	protein_coding
ENSG00000221705	snoRNA
ENSG00000238793	snoRNA
ENSG00000238300	snoRNA
ENSG00000185825	protein_coding
ENSG00000105835	protein_coding
ENSG00000142789	protein_coding
ENSG00000244462	protein_coding
ENSG00000015153	protein_coding
ENSG00000101246	protein_coding
ENSG00000129910	protein_coding
ENSG00000234854	antisense_RNA
ENSG00000255494	lincRNA
ENSG00000229873	antisense_RNA
ENSG00000141232	protein_coding
ENSG00000270673	lincRNA
ENSG00000263878	antisense_RNA
ENSG00000253405	antisense_RNA
ENSG00000126005	protein_coding
ENSG00000233409	antisense_RNA
ENSG00000251173	antisense_RNA
ENSG00000230266	antisense_RNA
ENSG00000251620	antisense_RNA
ENSG00000082929	processed_transcript
ENSG00000127914	protein_coding
ENSG00000166509	protein_coding
ENSG00000138640	protein_coding
ENSG00000145907	protein_coding
ENSG00000064607	protein_coding
ENSG00000105246	protein_coding
ENSG00000173698	protein_coding
ENSG00000166589	protein_coding
ENSG00000139793	protein_coding
ENSG00000138443	protein_coding
ENSG00000115816	protein_coding
ENSG00000136040	protein_coding
ENSG00000244184	antisense_RNA
ENSG00000130726	protein_coding
ENSG00000105808	protein_coding
ENSG00000008311	protein_coding
ENSG00000162366	protein_coding
ENSG00000182220	protein_coding
ENSG00000079112	protein_coding
ENSG00000152767	protein_coding
ENSG00000139679	protein_coding
ENSG00000111684	protein_coding
ENSG00000158195	protein_coding
ENSG00000140835	protein_coding
ENSG00000004864	protein_coding
ENSG00000283643	processed_transcript
ENSG00000279220	processed_transcript
ENSG00000269235	antisense_RNA
ENSG00000281131	lincRNA
ENSG00000102743	protein_coding
ENSG00000186448	protein_coding
ENSG00000281709	protein_coding
ENSG00000140264	protein_coding
ENSG00000145526	protein_coding
ENSG00000073737	protein_coding
ENSG00000120158	protein_coding
ENSG00000152454	protein_coding
ENSG00000242294	transcribed_unprocessed_pseudogene
ENSG00000120896	protein_coding
ENSG00000272752	processed_transcript
ENSG00000100528	protein_coding
ENSG00000009694	protein_coding
ENSG00000076053	protein_coding
ENSG00000123374	protein_coding
ENSG00000280997	lincRNA
ENSG00000187600	processed_transcript
ENSG00000004534	protein_coding
ENSG00000003756	protein_coding
ENSG00000145685	protein_coding
ENSG00000282961	lincRNA
ENSG00000183722	protein_coding
ENSG00000061938	protein_coding
ENSG00000183684	protein_coding
ENSG00000250506	protein_coding
ENSG00000115514	protein_coding
ENSG00000228265	lincRNA
ENSG00000226759	antisense_RNA
ENSG00000253967	lincRNA
ENSG00000259736	antisense_RNA
ENSG00000262686	lincRNA
ENSG00000282703	lincRNA
ENSG00000277448	lincRNA
ENSG00000281491	lincRNA
ENSG00000240922	antisense_RNA
ENSG00000249740	lincRNA
ENSG00000253726	sense_intronic
ENSG00000214432	antisense_RNA
ENSG00000283050	transcribed_unprocessed_pseudogene
ENSG00000226159	lincRNA
ENSG00000250295	antisense_RNA
ENSG00000258551	lincRNA
ENSG00000257285	antisense_RNA
ENSG00000242973	antisense_RNA
ENSG00000271334	lincRNA
ENSG00000231185	antisense_RNA
ENSG00000236373	lincRNA
ENSG00000260338	antisense_RNA
ENSG00000279797	lincRNA
ENSG00000226203	lincRNA
ENSG00000231252	lincRNA
ENSG00000231031	lincRNA
ENSG00000230317	lincRNA
ENSG00000236714	lincRNA
ENSG00000254300	lincRNA
ENSG00000243593	lincRNA
ENSG00000232907	antisense_RNA
ENSG00000229380	antisense_RNA
ENSG00000254266	lincRNA
ENSG00000250772	lincRNA
ENSG00000261617	lincRNA
ENSG00000234506	lincRNA
ENSG00000266979	lincRNA
ENSG00000265845	antisense_RNA
ENSG00000251076	antisense_RNA
ENSG00000223949	antisense_RNA
ENSG00000257784	lincRNA
ENSG00000249328	lincRNA
ENSG00000234690	lincRNA
ENSG00000232913	antisense_RNA
ENSG00000233360	antisense_RNA
ENSG00000237298	antisense_RNA
ENSG00000241288	processed_transcript
ENSG00000126861	protein_coding
ENSG00000257510	lincRNA
ENSG00000251542	lincRNA
ENSG00000257845	lincRNA
ENSG00000272138	lincRNA
ENSG00000245870	lincRNA
ENSG00000248464	antisense_RNA
ENSG00000284500	sense_overlapping
ENSG00000257612	lincRNA
ENSG00000261083	lincRNA
ENSG00000249035	antisense_RNA
ENSG00000241316	lincRNA
ENSG00000259724	lincRNA
ENSG00000254226	lincRNA
ENSG00000281839	lincRNA
ENSG00000255433	lincRNA
ENSG00000244215	lincRNA
ENSG00000250365	antisense_RNA
ENSG00000236081	lincRNA
ENSG00000258785	lincRNA
ENSG00000262999	antisense_RNA
ENSG00000261231	lincRNA
ENSG00000249484	lincRNA
ENSG00000231683	lincRNA
ENSG00000227599	antisense_RNA
ENSG00000227466	antisense_RNA
ENSG00000254394	lincRNA
ENSG00000232628	sense_intronic
ENSG00000239921	lincRNA
ENSG00000264707	lincRNA
ENSG00000267575	lincRNA
ENSG00000240405	lincRNA
ENSG00000261105	antisense_RNA
ENSG00000234663	lincRNA
ENSG00000229042	antisense_RNA
ENSG00000237101	antisense_RNA
ENSG00000235899	antisense_RNA
ENSG00000224318	processed_transcript
ENSG00000265069	antisense_RNA
ENSG00000236740	lincRNA
ENSG00000234661	antisense_RNA
ENSG00000226747	antisense_RNA
ENSG00000249497	lincRNA
ENSG00000224957	lincRNA
ENSG00000237877	lincRNA
ENSG00000229005	antisense_RNA
ENSG00000234264	antisense_RNA
ENSG00000246263	antisense_RNA
ENSG00000261623	lincRNA
ENSG00000267013	lincRNA
ENSG00000251085	lincRNA
ENSG00000250075	lincRNA
ENSG00000261156	lincRNA
ENSG00000168746	lincRNA
ENSG00000229051	lincRNA
ENSG00000251239	antisense_RNA
ENSG00000232564	antisense_RNA
ENSG00000236849	lincRNA
ENSG00000258334	antisense_RNA
ENSG00000260249	antisense_RNA
ENSG00000260930	lincRNA
ENSG00000249383	lincRNA
ENSG00000266053	antisense_RNA
ENSG00000246876	lincRNA
ENSG00000222030	lincRNA
ENSG00000259664	lincRNA
ENSG00000261366	antisense_RNA
ENSG00000233806	processed_transcript
ENSG00000280686	processed_transcript
ENSG00000257771	lincRNA
ENSG00000233973	lincRNA
ENSG00000259582	lincRNA
ENSG00000262097	lincRNA
ENSG00000271860	lincRNA
ENSG00000257588	antisense_RNA
ENSG00000234497	antisense_RNA
ENSG00000263627	lincRNA
ENSG00000257582	lincRNA
ENSG00000261637	lincRNA
ENSG00000279208	unprocessed_pseudogene
ENSG00000239454	lincRNA
ENSG00000226258	lincRNA
ENSG00000261856	lincRNA
ENSG00000260913	lincRNA
ENSG00000271826	antisense_RNA
ENSG00000223770	antisense_RNA
ENSG00000227809	lincRNA
ENSG00000250241	lincRNA
ENSG00000234781	lincRNA
ENSG00000225942	lincRNA
ENSG00000251329	lincRNA
ENSG00000260057	lincRNA
ENSG00000231119	antisense_RNA
ENSG00000235139	lincRNA
