project	tissue	method	log2_auprc_over_prior	auROC	dataset	sample_num	median_spearman	counts_sample_sums_median	counts_sample_sums_variance
SRP012682	testis	CPM	0.1557105956477161	0.5359357299175826	SRP012682_testis	203	0.8975121198521843	17713495	28511044450967.555
SRP012682	thyroid	CPM	0.4007486703082048	0.549903954259662	SRP012682_thyroid	361	0.8803299354597345	18085485	34659609336165.54
SRP012682	uterus	CPM	0.2743702974683974	0.5371753756985527	SRP012682_uterus	90	0.8770981722633059	18869898.5	15946606709973.91
SRP012682	vagina	CPM	0.1360712847806643	0.5303269908281436	SRP012682_vagina	97	0.8169675261454857	16892044	18566935313697.44
SRP012682	adipose_tissue	CPM_quantile	0.3465451883295516	0.5472707799322052	SRP012682_adipose_tissue	620	0.8506274146438043	18923694	30066501410326.83
SRP012682	adrenal_gland	CPM_quantile	0.27276847099804874	0.5437773733724498	SRP012682_adrenal_gland	159	0.9045109224029559	19522180	23481551609864.31
SRP012682	bladder	CPM_quantile	0.06501936726447109	0.5188765354814677	SRP012682_bladder	11	0.8774278302670073	16528010	7730794256511.091
SRP012682	blood	CPM_quantile	0.39197042556143474	0.5550874465616289	SRP012682_blood	595	0.8210499606496351	21664752	47563257529617
SRP012682	blood_vessel	CPM_quantile	0.4616385388789408	0.5492036831146834	SRP012682_blood_vessel	750	0.8634456651812191	18951804.5	38754164151495.93
SRP012682	bone_marrow	CPM_quantile	0.1719434754038341	0.5238921048098746	SRP012682_bone_marrow	102	0.9928019473064187	21093744.5	42049900457199.79
SRP012682	brain	CPM_quantile	0.30457213177777553	0.5517553513655002	SRP012682_brain	1409	0.7523762664025219	19802864	46066048954458.94
SRP012682	breast	CPM_quantile	0.2220091831479144	0.5389446699823566	SRP012682_breast	218	0.8302414835111974	18610044.5	18879247457177.68
SRP012682	cervix_uteri	CPM_quantile	0.08753758699159554	0.5216721327569758	SRP012682_cervix_uteri	11	0.8542408684699819	16674331	5000055391623.473
SRP012682	colon	CPM_quantile	0.09167492087324777	0.5355704582061662	SRP012682_colon	376	0.8005994571042859	18372514	19519544599157.188
