project	tissue	method	log2_auprc_over_prior	log2_p20r	auROC	data_transformation	sample_num	counts_sample_sums_variance	median_spearman
SRP018861	bone	rlog_WTO	0.1048645364911937	0.1891791486233825	0.5257333321183069	rlog	21	4545492237961.434	0.9490740843284625
SRP018883	epithelium	rlog_WTO	0.11516580269372784	0.1923534823866421	0.516458564880395	rlog	8	2779870903195.357	0.9347491867026323
SRP019241	stem_cell	rlog_WTO	0.07734765426326998	0.1565612395433722	0.5068154789464643	rlog	8	5929047005176.839	0.6475018931684982
SRP019762	brain	rlog_WTO	0.055955688339289315	0.1122979802825565	0.52127659856842	rlog	14	1231174015556.2637	0.9302012121598267
SRP019936	breast	rlog_WTO	0.12522905601097778	0.2609475685752111	0.5172124576165515	rlog	32	26835339576058.645	0.655014660154117
SRP020491	tonsil	rlog_WTO	0.1272607537900578	0.28149324680494786	0.5133848276836943	rlog	54	3731477914169.293	0.9687878524990358
SRP020492	blood	rlog_WTO	0.40254351728835935	0.6247104192814048	0.5475610256999062	rlog	53	2691983952604.537	0.9757664705593362
SRP021085	blood	rlog_WTO	0.2510095772749785	0.42304768932537445	0.534009270385468	rlog	30	915285137703.9126	0.9632492734389628
SRP021134	stem_cell	rlog_WTO	0.12250337914977705	0.23301861901290244	0.5207932834223357	rlog	8	438010865254.5	0.8963846401937632
SRP021193	heart	rlog_WTO	0.2946346010629662	0.4305249863910776	0.5444459486061533	rlog	40	4415663062974.061	0.93926487954579585
SRP021214	umbilical_cord	rlog_WTO	0.0918326020840714	0.17766993612186707	0.5344971576760145	rlog	7	64244531380096.29	0.8447599094176782
SRP021509	tonsil	rlog_WTO	0.1213985761930047	0.19045145776783	0.5384829299073317	rlog	43	201907085215765.3	0.8239436731812138
SRP021917	colon	rlog_WTO	0.300588672688859	0.3934475325870786	0.5383551165705285	rlog	15	9839859488426.781	0.8910983261521329
SRP021924	brain	rlog_WTO	0.0332154982485256	0.071608682063118545	0.5078699874516133	rlog	5	4612142342549.8	0.9531670823274834
SRP022028	brain	rlog_WTO	0.06079055304511401	0.15584839244520543	0.5104450435705985	rlog	8	59526538499059.64	0.8889783948801231
SRP022054	colon	rlog_WTO	-0.002872473912880964	0.014387090036195897	0.5163198665395612	rlog	13	19232011467578.91	0.4883351893313418
SRP022054	liver	rlog_WTO	0.016118641467469764	0.062475644946468865	0.5118310055831898	rlog	7	21151512467973.906	0.49524435203401906
SRP022054	umbilical_cord	rlog_WTO	0.0210042157057558	0.060745655003718924	0.5137067887740159	rlog	12	27651977464999.152	0.4417812858700708
SRP022133	blood	rlog_WTO	0.22435172436893358	0.3763807732703088	0.5240872851190943	rlog	25	5146524410732.144	0.9490749593182713
SRP023262	breast	rlog_WTO	0.056729565216896045	0.1704247706540808	0.5021034639999016	rlog	80	20183436443780.85	0.825477907130113
SRP023550	stem_cell	rlog_WTO	0.13250660534027534	0.2196110914963194	0.5219730169606009	rlog	10	13278607112082.768	0.9323968192021694
