project	tissue	method	recall	precision	dataset	log2_precision_over_prior
SRP003754	brain	UQ_wTO	5	0.14006514657980457	SRP003754_brain	0.39069062180727043
SRP003754	epithelium	UQ_wTO	5	0.17783805505324493	SRP003754_epithelium	0.7351566929482214
SRP003754	skin	UQ_wTO	5	0.16772971678603305	SRP003754_skin	0.6507309323803099
SRP003902	kidney	UQ_wTO	5	0.1961273666092943	SRP003902_kidney	0.8763834734487576
SRP004847	breast	UQ_wTO	5	0.1198639142725659	SRP004847_breast	0.16599000998634983
SRP005242	heart	UQ_wTO	5	0.13484732200924052	SRP005242_heart	0.33591948834688445
SRP005279	blood	UQ_wTO	5	0.14077901324094216	SRP005279_blood	0.39802489652110223
SRP005279	bone	UQ_wTO	5	0.158442140296979	SRP005279_bone	0.5685487125507208
SRP005281	stem_cell	UQ_wTO	5	0.16173281085326205	SRP005281_stem_cell	0.5982050066866
SRP006575	breast	UQ_wTO	5	0.17966761131658582	SRP006575_breast	0.7499229752147679
SRP006575	colon	UQ_wTO	5	0.129863353892432	SRP006575_colon	0.2815869920495195
SRP006575	kidney	UQ_wTO	5	0.15192835544731928	SRP006575_kidney	0.5079837727834507
SRP006575	lung	UQ_wTO	5	0.14995064331007713	SRP006575_lung	0.4890803291795522
SRP006676	lung	UQ_wTO	5	0.13943882914207165	SRP006676_lung	0.3842249780074636
SRP006908	breast	UQ_wTO	5	0.14325477154424524	SRP006908_breast	0.423175810801054
SRP007169	umbilical_cord	UQ_wTO	5	0.13339241844699443	SRP007169_umbilical_cord	0.3202692887600199
SRP007359	brain	UQ_wTO	5	0.14490575701010155	SRP007359_brain	0.4397075309433802
SRP007412	brain	UQ_wTO	5	0.14215099209442894	SRP007412_brain	0.4120167854371836
SRP007461	blood	UQ_wTO	5	0.17167052469135802	SRP007461_blood	0.6842349718260661
SRP007461	blood_vessel	UQ_wTO	5	0.14945031249239202	SRP007461_blood_vessel	0.48425853120321355
SRP007461	brain	UQ_wTO	5	0.12839506172839507	SRP007461_brain	0.2651823328444571
SRP007461	breast	UQ_wTO	5	0.11877212723330681	SRP007461_breast	0.15278892998706187
SRP007461	epithelium	UQ_wTO	5	0.12650163228857106	SRP007461_epithelium	0.24374861815527232
SRP007461	liver	UQ_wTO	5	0.15255606896501062	SRP007461_liver	0.5139321917462072
SRP007461	lung	UQ_wTO	5	0.12228654970760235	SRP007461_lung	0.1948583482132161
SRP007461	muscle	UQ_wTO	5	0.11457003694994962	SRP007461_muscle	0.10082240866544755
SRP007461	skin	UQ_wTO	5	0.13116532623216864	SRP007461_skin	0.2959790091580377
SRP007461	stem_cell	UQ_wTO	5	0.1137081949237269	SRP007461_stem_cell	0.08992885026827015
SRP007483	brain	UQ_wTO	5	0.10790373912050484	SRP007483_brain	0.014337476085318395
SRP007584	colon	UQ_wTO	5	0.17125912000358087	SRP007584_colon	0.6807734350544382
SRP007584	intestine	UQ_wTO	5	0.15917143864716451	SRP007584_intestine	0.5751741028491408
SRP007605	heart	UQ_wTO	5	0.11473309798887463	SRP007605_heart	0.10287425494252338
SRP007825	skin	UQ_wTO	5	0.27456558226785804	SRP007825_skin	1.3617434076632535
SRP008218	breast	UQ_wTO	5	0.14823528628761207	SRP008218_breast	0.4724815287446485
SRP008225	stem_cell	UQ_wTO	5	0.12632066192212	SRP008225_stem_cell	0.24168325366174387
SRP008331	breast	UQ_wTO	5	0.13044164775784228	SRP008331_breast	0.2879971882354332
SRP008482	blood_vessel	UQ_wTO	5	0.1611297623946804	SRP008482_blood_vessel	0.5928156174885001
SRP008496	umbilical_cord	UQ_wTO	5	0.16661694915254238	SRP008496_umbilical_cord	0.6411277842852173
SRP008746	breast	UQ_wTO	5	0.17590304125020664	SRP008746_breast	0.7193730438808743
SRP008775	blood	UQ_wTO	5	0.15294117647058825	SRP008775_blood	0.5175694944787422
SRP008976	blood	UQ_wTO	5	0.18994464622476775	SRP008976_blood	0.8301716663962476
SRP009123	liver	UQ_wTO	5	0.12904374137854313	SRP009123_liver	0.2724527900071239
SRP009251	skin	UQ_wTO	5	0.15821458819334036	SRP009251_skin	0.5664752473852239
SRP009262	tonsil	UQ_wTO	5	0.16133537556955627	SRP009262_tonsil	0.594655426590401
SRP009266	brain	UQ_wTO	5	0.12797246974331694	SRP009266_brain	0.26042609940190053
SRP009266	breast	UQ_wTO	5	0.10321064624343312	SRP009266_breast	-0.04981558906927404
SRP009266	epithelium	UQ_wTO	5	0.12608868266296122	SRP009266_epithelium	0.2390314071418949
SRP009266	lung	UQ_wTO	5	0.14535703041842196	SRP009266_lung	0.44419346893488715
SRP009276	breast	UQ_wTO	5	0.1338621068534542	SRP009276_breast	0.32534024373557474
SRP009276	skin	UQ_wTO	5	0.12564853850927307	SRP009276_skin	0.23398650808481877
SRP009316	tonsil	UQ_wTO	5	0.1883213530655391	SRP009316_tonsil	0.8177892086989605
SRP009373	blood	UQ_wTO	5	0.13823848487052892	SRP009373_blood	0.3717519279786794
SRP009408	lung	UQ_wTO	5	0.20716446484914103	SRP009408_lung	0.9553691747506794
SRP009615	blood	UQ_wTO	5	0.12892482517482518	SRP009615_blood	0.27112270679714795
SRP009840	bone	UQ_wTO	5	0.16544393998616916	SRP009840_bone	0.6309350660107723
SRP009862	blood	UQ_wTO	5	0.17262010124969024	SRP009862_blood	0.6921930907067411
SRP009862	liver	UQ_wTO	5	0.134920292977165	SRP009862_liver	0.33669997384827743
SRP009862	skin	UQ_wTO	5	0.14329415068603066	SRP009862_skin	0.42357233710786213
