project	tissue	method	log2_auprc_over_prior	log2_p20r	auROC	data_transformation	sample_num	counts_sample_sums_variance	median_spearman
SRP008976	blood	CLR	0.4154211681531567	0.6517156753422318	0.5974044023282659	asinh	25	165295164570298.94	0.9327145490131237
SRP009123	liver	CLR	0.21839051371279924	0.3511769969379913	0.5600341418494281	asinh	6	1013364811525.6	0.7128983161665476
SRP009251	skin	CLR	0.2894006479879447	0.4518449398491028	0.5739110988251923	asinh	10	40962393496477.57	0.8995155113865458
SRP009262	tonsil	CLR	0.2570291621848614	0.4435269346069855	0.570438732853745	asinh	5	351863165290936.7	0.770512978334354
SRP009266	brain	CLR	0.06718606003530982	0.11046481945400866	0.5212740218853469	asinh	6	29527073434114.965	0.983143599558673
SRP009266	breast	CLR	0.04601743456649916	0.07945870024936527	0.5024881619606276	asinh	6	31946682361831.465	0.7796939645357992
SRP009266	epithelium	CLR	0.08041907120667016	0.14299477424731977	0.5171428008243311	asinh	6	26564735912015.465	0.974268562908916
SRP009266	lung	CLR	0.1285094632431311	0.2042906796879324	0.5270239659821527	asinh	6	16881127737733.367	0.9831996848654092
SRP009276	breast	CLR	0.137010599798574	0.21237788423125376	0.531067987624283	asinh	5	23280438322735.5	0.9696926661965488
SRP009276	skin	CLR	0.17656791066697947	0.26386905459384086	0.5352796141651197	asinh	5	55911792431362.2	0.9123487288582667
SRP009316	tonsil	CLR	0.4432803632316945	0.6999807879911873	0.5886679695463499	asinh	39	152189538845442.66	0.8383266552995194
SRP009373	blood	CLR	0.2184168851581862	0.34717018103229047	0.5615973624126127	asinh	6	50658393832208	0.6480313180872258
SRP009408	lung	CLR	0.3904887584923718	0.6267499710216816	0.5897216995126655	asinh	48	20376162280082.125	0.6589494335693437
SRP009615	blood	CLR	0.2336278010297749	0.37404053257871767	0.5688086921900322	asinh	12	64889759283064.99	0.9402529660975534
SRP009840	bone	CLR	0.1995171085194832	0.2574775893272496	0.5322527040184468	asinh	11	42218737715533.016	0.7922230854876293
SRP009862	blood	CLR	0.28309751849056813	0.5042617780495507	0.5675585401368153	asinh	23	20507373972662.133	0.6276432289983679
SRP009862	liver	CLR	0.18227976741421814	0.30364172203345385	0.5568344227012858	asinh	9	22668369806519.36	0.7547160304065453
SRP009862	skin	CLR	0.1459309552028541	0.2606185777646392	0.534191002735497	asinh	9	16531575712235.111	0.7725306474813661
SRP010041	lung	CLR	0.1449624057914757	0.30057649516997353	0.5418389974893216	asinh	6	2367267160787.8667	0.8746000133452073
SRP010181	intestine	CLR	0.43995230903021315	0.6118685076648455	0.5613157912043789	asinh	26	1466198307.146154	0.7229301701491603
SRP010374	cervix	CLR	0.2000632072803743	0.31578662541628594	0.5365637889567552	asinh	5	7972338401457.8	0.9600840860221238
SRP010483	brain	CLR	0.28003410321088795	0.4649076190987349	0.564853125276386	asinh	10	23001832322613.12	0.8728140234038662
SRP010644	blood	CLR	0.4802767052968614	0.7556579009096503	0.578654567119429	asinh	17	33811300443513.492	0.9503595763773524
SRP010961	blood	CLR	0.19406657953411027	0.38122739262777494	0.5313750010896001	asinh	6	586358422904	0.9480269256105643
SRP011085	epithelium	CLR	0.3072821830619037	0.560631320953908	0.577499359045305	asinh	24	684988521294819.9	0.8514905340278471
SRP011546	stem_cell	CLR	0.22288174064891314	0.3161548873223958	0.535423090371296	asinh	118	63939800934189.38	0.460679062893746
SRP011903	brain	CLR	0.17644645303695042	0.3326268001105986	0.5372156858225026	asinh	15	5785827686279.124	0.968544863780091
