project	sample	run	sharq_beta_tissue
SRP012682	SRS644103	SRR1435206	Blood Vessel
SRP012682	SRS623914	SRR1309619	Esophagus
SRP012682	SRS525182	SRR1089853	Esophagus
SRP012682	SRS625648	SRR1322683	Adrenal Gland
SRP012682	SRS524603	SRR1077996	Uterus
SRP012682	SRS649719	SRR1489502	Brain
SRP012682	SRS644417	SRR1440541	Blood Vessel
SRP012682	SRS626961	SRR1329835	Brain
SRP012682	SRS634786	SRR1380523	Vagina
SRP012682	SRS524276	SRR1070665	Esophagus
SRP012682	SRS524879	SRR1084347	Testis
SRP012682	SRS639342	SRR1416819	Small Intestine
SRP012682	SRS626818	SRR1328551	Esophagus
SRP012682	SRS625515	SRR1320203	Stomach
SRP012682	SRS525393	SRR1094241	Blood Vessel
SRP012682	SRS643945	SRR1431887	Esophagus
SRP012682	SRS524821	SRR1082957	Stomach
SRP012682	SRS625482	SRR1319520	Blood Vessel
SRP012682	SRS524551	SRR1076847	Blood
SRP012682	SRS526080	SRR1097221	Skin
SRP012682	SRS389940	SRR662186	Adipose Tissue
SRP012682	SRS644150	SRR1436127	Pituitary
SRP012682	SRS626959	SRR1329811	Adrenal Gland
SRP012682	SRS644770	SRR1448075	Esophagus
SRP012682	SRS648642	SRR1475408	Breast
SRP012682	SRS650196	SRR1502143	Skin
SRP012682	SRS629393	SRR1349608	Esophagus
SRP012682	SRS408500	SRR815164	Skin
SRP012682	SRS526007	SRR1095985	Blood Vessel
SRP012682	SRS637660	SRR1396765	Spleen
SRP012682	SRS524839	SRR1083384	Skin
SRP012682	SRS645978	SRR1458026	Heart
SRP012682	SRS643911	SRR1431183	Brain
SRP012682	SRS626642	SRR1328073	Blood Vessel
SRP012682	SRS644612	SRR1444678	Brain
SRP012682	SRS628381	SRR1343302	Adipose Tissue
SRP012682	SRS389736	SRR665429	Lung
SRP012682	SRS636067	SRR1387032	Brain
SRP012682	SRS648619	SRR1474930	Esophagus
SRP012682	SRS637734	SRR1398272	Colon
SRP012682	SRS534942	SRR1120711	Stomach
SRP012682	SRS629991	SRR1361093	Adipose Tissue
SRP012682	SRS646012	SRR1458769	Bone Marrow
SRP012682	SRS625532	SRR1320424	Blood Vessel
SRP012682	SRS649531	SRR1485482	Esophagus
SRP012682	SRS629703	SRR1355432	Skin
SRP012682	SRS648504	SRR1472704	Breast
SRP012682	SRS626200	SRR1325711	Skin
SRP012682	SRS639178	SRR1413625	Brain
SRP012682	SRS525391	SRR1094192	Heart
SRP012682	SRS526673	SRR1102031	Blood
SRP012682	SRS644172	SRR1436583	Colon
SRP012682	SRS629510	SRR1352129	Brain
SRP012682	SRS627451	SRR1335605	Prostate
SRP012682	SRS639517	SRR1420413	Colon
SRP012682	SRS649673	SRR1488514	Skin
SRP012682	SRS645837	SRR1454950	Brain
SRP012682	SRS629531	SRR1352597	Testis
SRP012682	SRS643846	SRR1429748	Esophagus
SRP012682	SRS525172	SRR1089643	Testis
SRP012682	SRS648415	SRR1470774	Esophagus
SRP012682	SRS525190	SRR1090046	Breast
SRP012682	SRS524820	SRR1082933	Stomach
SRP012682	SRS525203	SRR1090359	Skin
SRP012682	SRS638009	SRR1403072	Blood Vessel
SRP012682	SRS625748	SRR1324412	Liver
SRP012682	SRS648184	SRR1465824	Esophagus
SRP012682	SRS525120	SRR1089106	Vagina
SRP012682	SRS526588	SRR1100991	Liver
SRP012682	SRS629822	SRR1357733	Esophagus
SRP012682	SRS631754	SRR1370085	Nerve
SRP012682	SRS624125	SRR1312822	Breast
SRP012682	SRS629459	SRR1350997	Stomach
SRP012682	SRS627584	SRR1336548	Brain
SRP012682	SRS648624	SRR1475022	Brain
SRP012682	SRS629866	SRR1358713	Blood
SRP012682	SRS637928	SRR1401403	Vagina
SRP012682	SRS644474	SRR1441768	Colon
SRP012682	SRS648173	SRR1465587	Blood Vessel
SRP012682	SRS629786	SRR1356976	Colon
SRP012682	SRS648220	SRR1466597	Colon
SRP012682	SRS525004	SRR1087297	Adrenal Gland
SRP012682	SRS526692	SRR1102489	Skin
SRP012682	SRS636120	SRR1388025	Lung
SRP012682	SRS524236	SRR1069714	Stomach
SRP012682	SRS626198	SRR1325665	Brain
SRP012682	SRS526541	SRR1099789	Esophagus
SRP012682	SRS636684	SRR1392456	Colon
SRP012682	SRS638385	SRR1409554	Skin
SRP012682	SRS524432	SRR1074359	Muscle
SRP012682	SRS374803	SRR613162	Bone Marrow
SRP012682	SRS649617	SRR1487321	Brain
SRP012682	SRS629246	SRR1347278	Pituitary
SRP012682	SRS637654	SRR1396640	Brain
SRP012682	SRS639464	SRR1419258	Muscle
SRP012682	SRS650086	SRR1498640	Brain
SRP012682	SRS524364	SRR1072626	Adrenal Gland
SRP012682	SRS646058	SRR1459804	Brain
SRP012682	SRS627426	SRR1335047	Brain
SRP012682	SRS627761	SRR1338346	Blood Vessel
SRP012682	SRS646032	SRR1459190	Adipose Tissue
SRP012682	SRS636582	SRR1392030	Thyroid
SRP012682	SRS635195	SRR1383301	Esophagus
SRP012682	SRS525294	SRR1091942	Skin
SRP012682	SRS631410	SRR1367807	Blood Vessel
SRP012682	SRS649643	SRR1487867	Stomach
SRP012682	SRS643951	SRR1432014	Prostate
SRP012682	SRS626207	SRR1325871	Blood Vessel
SRP012682	SRS624015	SRR1311688	Skin
SRP012682	SRS638268	SRR1407671	Adipose Tissue
SRP012682	SRS634129	SRR1376334	Blood Vessel
SRP012682	SRS637682	SRR1397180	Heart
SRP012682	SRS627160	SRR1332754	Skin
SRP012682	SRS648222	SRR1466641	Brain
SRP012682	SRS524712	SRR1080534	Vagina
SRP012682	SRS526070	SRR1096987	Breast
SRP012682	SRS643824	SRR1429287	Spleen
SRP012682	SRS648613	SRR1474795	Brain
SRP012682	SRS524730	SRR1080951	Colon
SRP012682	SRS645782	SRR1453787	Thyroid
SRP012682	SRS629996	SRR1361195	Skin
SRP012682	SRS524747	SRR1081357	Testis
SRP012682	SRS333028	SRR600784	Lung
SRP012682	SRS627167	SRR1332904	Pituitary
SRP012682	SRS389542	SRR657611	Lung
SRP012682	SRS332936	SRR601068	Skin
SRP012682	SRS389517	SRR657492	Heart
SRP012682	SRS1036402	SRR2167209	Pancreas
SRP012682	SRS389776	SRR665586	Adipose Tissue
SRP012682	SRS408930	SRR821690	Brain
SRP012682	SRS389587	SRR658597	Skin
SRP012682	SRS627770	SRR1338536	Blood
SRP012682	SRS408322	SRR811261	Skin
SRP012682	SRS408678	SRR817880	Brain
SRP012682	SRS389760	SRR660638	Brain
SRP012682	SRS649704	SRR1489177	Brain
SRP012682	SRS389020	SRR654969	Thyroid
SRP012682	SRS646083	SRR1460363	Nerve
SRP012682	SRS389943	SRR662233	Brain
SRP012682	SRS408664	SRR817715	Brain
SRP012682	SRS524497	SRR1075603	Esophagus
SRP012682	SRS389111	SRR658338	Skin
SRP012682	SRS638023	SRR1403366	Muscle
